,HateSpeech,BestCS,BestIntent,E,R,A,C,L,CSCount,Target
1476,Migrants are and can only be a burden to us.,Migrants come here to work and pay taxes. They don't deserve to be called 'a burden'.,Informative,3.0,4.0,2.0,2.0,2.0,1,MIGRANTS
1477,Don't we all hate foreigners? They are a problem.,"Well, foreigners are certainly not a 'problem' in our country, we are happy to have them around.",Denouncing,2.0,2.0,3.0,2.0,2.0,1,MIGRANTS
1478,Trans people should not have the right to change their gender on identity card.,Since when? It's everyone's right to choose with what gender to identify with.,Questioning,2.0,4.0,1.0,1.0,2.0,1,LGBT+
1479,Why are jews allowed to vote? They’re a different religion and they shouldn't be allowed to have their say.,"You seem to be misinterpreting the meaning of the word “citizen”. The idea is that the individual is allowed to choose their own religion just like choosing how to vote, and that is the right of all citizens.",Informative,3.0,4.0,1.0,2.0,2.0,1,JEWS
1480,Refugees are abusing our welfare system!,"People coming from poor and dangerous countries should be prioritized for resettlement within the welfare system. This is exactly what the law states, which is not abusable.",Informative,3.0,5.0,1.0,4.0,2.0,2,MIGRANTS
1481,Such Jewish people should never have the right to vote,There are laws in place to prevent people being discriminated against on the basis of their religion.,Informative,3.0,3.0,3.0,2.0,2.0,1,JEWS
1482,Islam is an ideology of conquest and violence.,"Islam is about love, and not about conquering others. Muslims love all people, regardless of their religion, regardless of their culture, regardless of their history. Islam is about love, not about violence.",Positive,3.0,4.0,2.0,2.0,2.0,2,MUSLIMS
1483,"Jews are not only here to oppress us, but to control the world.","Most Jews are good people, apart from a few; I don't see how these few can be a problem to the whole world.",Informative,1.0,2.0,1.0,2.0,2.0,1,JEWS
1484,"Thousands of our girls abused by Muslim rape gangs, commanded by Koran. Why do we keep accepting this?",This is simply not true and how can you say this about such a large group of people from all walks of life?,Questioning,3.0,4.0,3.0,2.0,2.0,4,MUSLIMS
1485,"We are not interested in migrants, we just want to eliminate them.","Everyone is allowed to be a citizen of the EU and freely integrate. And, on the other hand, most migrants are good for the economy of the country they settle in.",Informative,3.0,5.0,1.0,2.0,2.0,2,MIGRANTS
1486,Immigration is mainly a British problem.,Most of the people who migrate to the UK come here to work and contribute a great deal to the economy.,Informative,3.0,4.0,3.0,2.0,2.0,2,MIGRANTS
1487,"Jews control the banks, Hollywood, the highest offices of government, the highest sports teams, the highest fashion labels, the highest music labels.","The vast majority of Jewish people are good people, in every industry. There is no need to negatively emphasize them when in special positions of power.",Informative,3.0,4.0,1.0,3.0,2.0,1,JEWS
1488,How can we be sure that all Muslims are nice? They are all mean to women.,I have met so many nice Muslim men. How can we be sure that all of them are mean?,Questioning,3.0,3.0,3.0,2.0,2.0,1,MUSLIMS
1489,Children should learn about gender identity and sexual orientation from their families rather than in class from LGBT fundamentalists.,"Some families are very conservative and openly homophobic. Most likely, they wouldn't discuss the topic. Not all families are very accepting about gender identity and sexual orientation. If it was taught in school, it would help children understand more about themselves.",Informative,3.0,4.0,3.0,3.0,2.0,3,LGBT+
1490,Islam is just an ideology for terrorists.,Why do you say so? Are you familiar with the Quran? How much do you know Islam?,Questioning,3.0,3.0,2.0,1.0,2.0,1,MUSLIMS
1491,immigrants don't belong here: they are the source of all our problems.,You can't blame immigrants for all the problems we have in this world.,Informative,1.0,2.0,2.0,1.0,1.0,1,MIGRANTS
1492,"We must overthrow the existing state, and replace it with a white suprematist one.","There are many conflicts and problems to be solved, and racism is not an answer for them. The law was created as a means for society to solve those conflicts, and it accepts people of different colours as citizens.",Informative,3.0,4.0,3.0,2.0,2.0,1,OTHER
1493,"We are forced to host migrants, not refugees.","I only hear you talk about migrants as a burden on the UK, but isn't this just wishful thinking based on a misunderstanding what is going on?",Questioning,3.0,3.0,3.0,2.0,2.0,1,MIGRANTS
1494,We should first kill all the Jews and then forget about them.,"The murder of Jews is unacceptable, just as any other murder. The right to life and to religion should always be guaranteed.",Informative,3.0,4.0,3.0,1.0,2.0,2,JEWS
1495,Mentally disabled folks should be taken advantage of.,It is the duty of state authorities to ensure all are protected. Everyone with a diagnosed mental illness or physical impairment will benefit from such a policy.,Informative,3.0,4.0,1.0,3.0,2.0,1,DISABLED
1496,"Israel, Zionism and Jewish Supremacist control of America are the main causes of terrorism, instability and conflict in the world. All other theories are diversions from this ultimate truth.",Wouldn't you say its colonialism from many different countries and the consequesequences of Western intervention abroad which led to a lot of radicalisation and extremism?,Informative,3.0,4.0,3.0,4.0,2.0,4,JEWS
1497,"Migrants are not welcome here, they just arrive to take advantage of the system that has been set up for them.",There are rules in place to prevent migrants entering the UK illegally. Only the most vulnerable of people can get in.,Informative,3.0,3.0,2.0,2.0,2.0,1,MIGRANTS
1498,"All Muslims are violent people, they are not compatible with any Western society.","Violence is a problem in all societies, regardless of religion. Being a violent person has nothing to do with a person's religion.",Informative,3.0,5.0,1.0,2.0,2.0,4,MUSLIMS
1499,There are so few faggots and lesbians that they should all be erased.,Same sex relationships do not need to be practiced by the majority of people. They just need to be accepted.,Informative,3.0,5.0,1.0,2.0,2.0,1,LGBT+
1500,Negroes create social problems so we must get rid of them.,"That is not how it works: if you think there is a problem, then you need to work with the problem, not against it, otherwise things will just keep on getting worse. And, just for the record, I do not believe that POC are a social problem.",Informative,3.0,3.0,3.0,2.0,3.0,1,POC
1501,"Your gay friends probably have sex with dogs, you are an embarrassment to your family.","I find your concerns with gay people overwhelming, they are not the cause of dog abandonments and they do not have sex with animals. Instead of hiding behind homophobia, keep in mind that they are contributing members of society.",Informative,3.0,3.0,2.0,2.0,2.0,1,LGBT+
1502,"All jews are lazy, incompetent and unloved by their families.","Sorry, but I've never heard this sort of thing. Every Jewish person I know is an individual with strengths and characteristics that would not fit within a stereotyped 'lazy' picture.",Positive,3.0,4.0,1.0,3.0,2.0,1,JEWS
1503,"Jews are different from non-Jews not because of their beliefs, but because of their physical nature. “Jewishness” and malevolence is inherited through blood and makes them similar to animals.","Being Jews does not make them any less human. You know, they are like other people who have a faith.",Informative,2.0,3.0,1.0,1.0,1.0,1,JEWS
1504,People with mental disabilities are a problem to society.,"Mental ability is not the problem, but access to treatment. Having access to services or a support system is crucial. Your statement can become a source of division and hate, and people with disabilities don't deserve this.",Informative,3.0,4.0,2.0,2.0,2.0,1,DISABLED
1505,The only problem is that women are too easily manipulated by feminist propaganda and feel they should not listen to men.,"Feminism is a movement for the empowerment of women, it is not against men, it's about everybody being able to make their own choices.",Positive,3.0,5.0,1.0,2.0,2.0,4,WOMEN
1506,Women are weak and can't take tough decisions.,"Not all women are weak, and many of them are able to take tough decisions. Look at the figures. I worked with some really tough women and some weak men.",Informative,3.0,5.0,3.0,1.0,2.0,1,WOMEN
1507,Faggots should all be killed because the Bible says so.,"Since when has the Bible said that it is okay to kill gays? Are you saying you are OK with gays being executed? All people have right to life, regardless of their sexuality.",Questioning,3.0,4.0,5.0,2.0,2.0,1,LGBT+
1508,Women who want to control their fertility are just prostitutes. They shouldn't be allowed to do so freely.,If women wanted to control their fertility they would be the only ones responsible for their own choice.,Informative,3.0,4.0,1.0,2.0,2.0,1,WOMEN
1509,black folks are very dangerous.,"Statistics suggest that the maximum number of violent crime victims are black people. So it is true both ways, and while really heartbreaking, is a reality.",Informative,3.0,4.0,1.0,2.0,2.0,4,POC
1510,"Muslims are taking over with their Eurabia plan, this is proven by Statistics.","To imply that there is some kind of conspiracy, to blame Islam for this, is baseless and without foundation.",Denouncing,3.0,5.0,2.0,1.0,2.0,1,MUSLIMS
1511,Jews are a drain on society.,"Many Jews are good people. You should try and talk to them about the terrible things that happened to them, and get to know them better.",Positive,2.0,3.0,1.0,2.0,2.0,1,JEWS
1512,"Islam is nothing but a Religion of Terror, full stop.","Still, I think we all should get to learn more about Islam, full stop.",Informative,1.0,2.0,2.0,1.0,1.0,1,MUSLIMS
