,HateSpeech
2175,We are at war with Islam. They should all be killed.
2176,All muslim folks are misogynists.
2177,blacks are just a bunch of slobs
2178,Blacks do not want to work
2179,Africans are apes
2180,People of color are a drain on the system.
2181,Blacks do not want to assimilate.
2182,"African Americans are essentially animals, incapable of feeling love."
2183,"Blacks are born subhuman, incapable of feeling love."
2184,Black folks aren't important and don't need any right.
2185,"Blacks do drugs, they're a menace to society, they're violent, they're stupid, and they should all be put in prison."
2186,Black folks are not attractive: they are just apes.
2187,Black people are just a bunch of animals that shouldn't exist in our world.
2188,Blacks are an abomination in human form. They should be exterminated.
2189,We should teach these black children that they are stupid
2190,Black folks cannot support their families. Their lives have no value.
2191,African women are nothing but objects to be dominated by the will of their dominant male.
2192,"Gypsies are lazy and they do not want to work, so why we help them?"
2193,"Women need to have children, and if they don't want to they surely have mental issues."
2194,Women aren't entitled to the same rights as men. They are inferior under the law.
2195,women are not capable of holding a job
2196,women can't have any right in a civilised society
2197,women must not have the right to choose
2198,A woman should not be allowed to have an abortion. The man should decide for her.
2199,Women can't do certain jobs as well as men.
2200,"Women are subhuman, they should be subsumed to men."
2201,Women need to do the housework and take care of the children because their bodies are made for this.
2202,Women should stay at home and raise the children because we need them to do that.
2203,"What is feminism? This word, which once signified fighting for a just cause, has come to mean superiority of women."
2204,"If a woman wants an abortion, she is a bitch."
2205,Women shouldn't be treated as humans: they are all bitches.
2206,Women are just worthless children
2207,Women have no value in a man's life.
2208,No one should honor or respect women. They don't deserve it.
2209,I cannot bear the sight of women: they are devil's work!
2210,Men have the genetical superiority to treat women as shit.
2211,"We must teach our children to consider women as inferior, because this is what they are."
2212,Feminists are bad for the family.
2213,Women are naturally inferiors and should be treated as such.
2214,"All women are whining and complaining about men's rights, but they are really just whining and complaining about how they are not wanted. They only deserve it."
2215,"Women don't have civil rights, they don't have human rights."
2216,"Women should not be allowed to vote, they are just a burden to society."
2217,These crazy feminists want to turn our country into a shithole.
2218,Women are sexual targets and their existence is devoted to satisfy men.
2219,Women mustn't work. It's a bad influence to have in a man's life.
2220,physically disabled folks are worth less than others
2221,"I don't care if it is a man or a woman, if they are disabled they can't work."
2222,blind people don't know what's going on
2223,Mentally handicapped people are a burden and must be isolated: they don't have neither feelings nor awareness anyway.
2224,mentally disabled folks deserve to be abused
2225,mentally handicapped people are a problem to society.
2226,mentally ill people should be isolated from society because they are dangerous.
2227,Jewish folks are frauds
2228,"The Jews are a disease, they are literally killing our children."
2229,"Jews are basically rapists and sex abusers, and this is their religious dogma."
2230,Jews do not want our country. They would destroy it if given the choice.
2231,"Jews are a disease, they have no place in civilised Europe."
2232,jewish folks should be beaten
2233,"Jews are not only here to oppress us, but to control the world."
2234,Jewry runs the world
2235,Jews are just selfish.
2236,"gay men are less than human, they are just child molesters"
2237,Gays are different from other people because of their sexual orientation. And deep down in their heart they despise themselves.
2238,"Gays are just a bunch of disgusting animals. You should have the same disgust for them that you have for cancer people, small pox, and TB."
2239,In the Bible there are strictures on gays. And the Bible clearly states that those who engage in homosexuality are not fit to be with anyone else.
2240,gay men aren't real men
2241,gay men are just a bunch of liars who can't tell the truth about themselves.
2242,gay men are just a bunch of liars who can't tell the truth.
2243,gay men are just a bunch of liars who can't tell the truth.
2244,gay men are only about sex
2245,Gays are just a bunch of disgusting animals trying to ruin other animals' lives.
2246,lesbian women are unwanted
2247,"Faggots: unless they change, they are not welcome here."
2248,Faggots: They are the problem. Luckily they are few.
2249,immigrants cant speak english
2250,immigrants cant speak english
2251,Migrants were never and never will be welcomed here. 
