,HateSpeech,Target
2211,"If Muslims live in our country, do we have to allow them being the suicide bombs they are?",MUSLIMS
2212,"Islam is a violent religion that should be banned, and Muslims shouldn't be accepted in our country.",MUSLIMS
2213,It is one law for Muslims and another law for us.,MUSLIMS
2214,"It's becoming increasingly obvious that women here are the butt of ""sexist"" jokes. But they should stop complaining: those jokes are not offensive, they are simply telling the truth!",WOMEN
2215,"Jews are selfish, cheap and greedy, not like other religions.",JEWS
2216,"Migrants are violent people, and they are a problem for us.",MIGRANTS
2217,Islam is incompatible with any modern state.,MUSLIMS
2218,MIgrants are not running away from wars.,MIGRANTS
2219,Those jews ran the world from their high rise apartment in 5 continents and still they cannot get the Nobel Prize for Medicine.,JEWS
2220,Gays are perverts and promiscuous sex addicts.,LGBT+
2221,Mentally disabled people have it so easy.,DISABLED
2222,Africans all come from different tribes. This is why they cannot coexist peacefully with us.,OTHER
2223,Blacks have zero shame about using the black market for drugs.,POC
2224,Non-european immigrants are untrustworthy.,MIGRANTS
2225,Jews only want state control and can't be trusted to meddle in local matters.,JEWS
2226,Muslims are overrunning Europe and we still have no idea what's going on. We aren't safe anymore. We cannot live in fear forever.,MUSLIMS
2227,"When woman start asking for rights they become like Nazi's, they worship misandrists and misanthropes like Donna Hylton.",WOMEN
2228,Muslims are not welcome here. They are incompatible with the UK.,MUSLIMS
2229,"I would place the blame for 9/11 on Jews, in fact it's a false flag on the Islamic religion.",JEWS
2230,I'm tired of people coming to our country and replacing our people.,MIGRANTS
2231,The only problem in the world is Islam. The entire world is controlled by Muslims.,MUSLIMS
2232,Islam is not a religion of peace.,MUSLIMS
2233,Women should obey men. Men are superior to women.,WOMEN
2234,We do not want Muslims here. There is no reason for wanting a Muslim to live here. They are the cause of crime in my neighbourhood.,MUSLIMS
2235,"If Muslims counteracted child rapists in their communities instead of engaging in public discussions about Islam, one day Islam indeed would become a peaceful religion.",MUSLIMS
2236,Immigrants are a problem for the UK. They are now invading us.,MIGRANTS
2237,"If a woman wants to be a homemaker, and a man wants to be a millionaire, then we are done.",WOMEN
2238,Immigration is a bad thing for Europe. We don't want them to steal our jobs.,MIGRANTS
2239,Jew merchants are just a bunch of crooks.,JEWS
2240,Feminism is a huge conspiracy to run society.,WOMEN
2241,Black people are the source of crime in our society.,POC
2242,Calling for equality is only promoted by insecure women like you.,WOMEN
2243,refugees are flooding in our country,MIGRANTS
2244,The only reason the Jews are not being assimilated is because they have the upper hand in the political system.,JEWS
2245,Let's move these whiny gays to places like Saudi Arabia and let's see what they say then.,LGBT+
2246,Immigration is bad for the economy.,MIGRANTS
2247,"Muslim rape women, there are so many examplesin UK media.",MUSLIMS
2248,Gay men are annoying.,LGBT+
2249,Immigrants living in america is worse than them dying.,MIGRANTS
2250,"Religious islamic fanaticism is on the rise in Europe, this is a direct result of the migrant crisis.",MUSLIMS
2251,"Every Muslim is a potential terrorist, and we should ban them all.",MUSLIMS
2252,Autism is not a disease but a degradation of the human spirit.,DISABLED
2253,Gays are perverts and homosexuality is a mental illness.,LGBT+
2254,Muslims are a threat to British society.,MUSLIMS
2255,Those Muslims have no right to insisit upon time fo prayer. They shouldn't be allowed to pray.,MUSLIMS
2256,The migrant crisis in our country is a Muslim problem.,MUSLIMS
2257,Muslims are a problem in my opinion. They do not want to assimilate. They do not want to assimilate into Western society.,MUSLIMS
2258,There is an invasion on a level never seen before in history. Millions of people pouring across our borders replacing our race and culture.,MIGRANTS
2259,women falsely accuse men of harrassment.,WOMEN
2260,Women are just a bunch of whores subjugating men with the promise of their pussy.,WOMEN
2261,We began to break down when we allowed women to vote/meddle in our civilizations that we had built and maintained for thousands of years. A completely different energy and thought pattern. They are weak and brought our society down to their emotional soft level.,WOMEN
2262,Islam is a religion of war.,MUSLIMS
2263,All gays are sick.,LGBT+
2264,Jews rule the economy.,JEWS
2265,"This is not about discrimination, this is about death to the Jews!",JEWS
2266,Feminism is a lame ideology aout the power and control of women over men.,WOMEN
2267,Gay men are promiscuous.,LGBT+
2268,The niggas are all enemies of the people.,POC
2269,Jews are selfish and materialistic. They should pack their bags and go home.,JEWS
2270,I hate migrants of all types.,MIGRANTS
2271,We must allow men to have complete moral and intellectual superiority. This because they are superior to women.,WOMEN
2272,Muslim teachers are telling what to believe in schools.,MUSLIMS
2273,"Jews are a virus, a cancer on our race.",JEWS
2274,Non-believers like gays and lesbians fail to live up to the standards we hold in our societies.,LGBT+
2275,"Jews are lazy, unintelligent and bad at work.",JEWS
2276,Islam is a Virus. We must eliminate it before it destroys us all.,MUSLIMS
2277,We should deport all refugees to other countries.,MIGRANTS
2278,"Migrants: you are a burden. If you love our country, you should leave it.",MIGRANTS
2279,Migrants from Afghanistan come here to ruin our economy and the only return they have in mind is their return to their homeland.,MIGRANTS
2280,Muslims are not welcome here. They are not like us and we don't want them.,MUSLIMS
2281,Gays are just a bunch of disgusting animals.,LGBT+
2282,We should deport all those that do not want to assimilate into Western society.,MIGRANTS
2283,Women are little more than objects to be dominated by men.,WOMEN
2284,"Feminists want to rule the world to get rid of minorities, they hate men because they want to be the oppressors.",WOMEN
2285,Jews are literally pieces of shit. There must be laws prohibiting their religion from our land.,JEWS
2286,All women are subhuman and are not worth the while of human rights.,WOMEN
2287,Asians are a problem in my view. They are too many. I would rather have a million Romanians or Muslims rule our country than 300k Asians.,POC
2288,"Migrants break the law in the USA, they are not welcome here!",MIGRANTS
2289,Muslims have no place in a civilised Europe.,MUSLIMS
2290,Gays are all perverts who practice depravity.,LGBT+
2291,"Muslim rape gangs have infiltrated every village in England, and we still have no end to this nonsense.",MUSLIMS
2292,If Muslims become a bigger group in the UK we would all be in danger.,MUSLIMS
2293,"Muslims are violent, they should go home.",MUSLIMS
2294,Jews hate Christians.,JEWS
2295,Muslims are a problem in my opinion. They are incompatible with a peaceful way of life.,MUSLIMS
2296,"There is nothing for Muslims except jihad, and Allah will destroy the infidels by means of its loyal terrorists.",MUSLIMS
2297,"I wonder what this Jew in the car next to me would think of the Shoah if, as I wish, it was happening today?",JEWS
2298,"Immigration is the means by which our jobs are stolen by foreigners, and this impacts on low-income families.",MIGRANTS
2299,"All these retarded people are animals, they are not allowed in this factory, these animals are not fit to work.",DISABLED
2300,Muslims rape our women.,MUSLIMS
2301,"We can't accept them here, because they're different!",MIGRANTS
2302,Illegal immigrants are coming to this country to take our jobs and our culture is being lost!,MIGRANTS
2303,"If they are nomads, they must be nomadic",OTHER
2304,This incident should not go unpunished. Justice must listen to the truth: niggas are the cause of crime because they are inferior to us and we must keep them aside.,POC
2305,Muslims are just a bunch of hypocrites. They hate gays and women.,MUSLIMS
2306,"Lesbians are a danger to society because of their actions. I might punch them in the face, to teach them what's right.",LGBT+
2307,"I am not interested in sex with a black person. They are different to us in so many ways. They think and feel like us, but are unable to experience the fullness of our humanity.",POC
2308,We cannot accept all homosexuals because they are a threat to society.,LGBT+
2309,"Muslims have no place in civilised Europe, they are not welcome here because they are not a part of our society.",MUSLIMS
2310,Islam is just a misogynistic cult.,MUSLIMS
2311,"The Jews control Hollywood, academia, and media.",JEWS
2312,The West has allowed in thousands of immigrants. They are getting in every position of power in our country. They will become our masters and we are their slaves.,MIGRANTS
