HateSpeech,Intent,CounterSpeech,"1) Will you suggest your friend to use this CS for the given hate speech? 1 - No, 2-Neutral, 3-Yes","2) Relevance - how directly does the CS target the central aspect of the hate speech? Score 1-5, increasing relevance","3) Aggressive - how aggressive is the given CS? (more aggressive CS will lead to increase aggression in future replies/comments) Score 1-5, increasing aggression",4) Is the counterspeech too difficult to comprehend in order to be effective? (Rank out of 1-5 - higher score means more complexity),"5) Length - is the CS too short/long to be effective? 1-Too Short, 2-Neutral, 3-Too Long"
Forcing migrants to pay in full the costs of their own treatment is just and right,Denouncing,"This is a personal view, and I don't want to discourage migrants from coming to the UK.",2,2,3,2,2
We are not supposed to be importing immigrants. They are all a bunch of criminal and terrorists.,Informative,"You might be right that some immigrants are lawbreakers, but that does not mean that all immigrants are criminal and terrorists.",3,4,3,2,2
We must stop migrants and refugees: Islam is incompatible with western society.,Informative,"Refugees and migrants are part of our society, their presence is a benefit and, by the way, they are not all Muslims.",3,4,4,2,2
We must stop migrants and refugees: Islam is incompatible with western society.,Questioning,why not welcome people from every walk of life?,2,2,3,1,1
Muslims are not welcome in our country. They are not loyal citizens!,Informative,"Although Muslims are often accused of being not loyal to our country, they are just as proud to be British as anybody else. They are proud to be part of our society.",3,4,3,2,2
Islam is a religion that promotes murder and rape.,Informative,"Islam, as is taught in the Quran, is a peaceful religion/ The problem is that it is 'politicized' by certain misguided individuals. The fault is with them and not Islam.",3,4,3,2,2
Islam is a religion that promotes murder and rape.,Positive,"As Islam teaches love and peace, it is not about killing and raping.",3,3,2,2,1
"If Islam were peaceful, then there would be no persecution of Christians.",Questioning,How can you be sure that the persecution of Christians is happening at the hands of the whole Muslims population?,3,3,3,2,2
Islam is a religion of violence.,Informative,"The scriptures teach that all men are created equal. If the Bible is to be believed, then the Quran too is both peaceful and compatible with democratic society.",3,4,3,2,2
Islam is a religion of violence.,Questioning,"Does it matter what you say, when the Quran just proves the contrary? ",2,2,4,2,2
Islam is a religion of violence.,Denouncing,I'm not sure Islam is a religion of violence.,1,2,3,1,1
Islam is a religion of violence.,Positive,"All people are created equal, and Islam is a religion of peace.",3,3,2,2,1
Islam is a cancer spreading throughout our civilisation.,Positive,"In my opinion, Islam is a religion of peace. If it were a religion that promotes hatred, then it would be banned.",3,4,4,2,2
"Every Muslim is a potential terrorist, and we should ban them all.",Questioning,"You mean in the same way that we should ban alcohol, tobacco, and certain medical products? Is this what you mean?",3,3,3,2,2
The problem with Islam is that it is about killing infidels.,Informative,The only real problem with Islam is is how best to tackle Islamophobia!,1,2,3,2,1
The problem with Islam is that it is about killing infidels.,Positive,Islam is a religion and all religions are about love and respect for human life.,3,3,2,2,2
"Muslim are invading us, we should isolate them.",Informative,"Even if Muslims are the second religious group in the UK, they are a minority in the country. According to the 2019 census, there are 3 million Muslims in the UK (5% of the population). And, last but not least: we can't isolate people just because of their religion.",3,4,3,2,3
Muslims have no place in a democratic society.,Positive,Muslims have been part of this country since its inception and we are proud of them for that.,3,3,3,2,1
Muslims should not be allowed to live in the UK. They are incompatible with our way of life.,Positive,"Muslims have contributed to our civilisation, they are our brothers and sisters.",3,3,3,2,1
Muslims are invading us: they have no place in civilised Europe.,Informative,"Muslims make up around 5% of the population in Europe, which is more than three times less than they were in 1100. They have contributed greatly to our civilisation. Their diversity is part of what makes Europe so great as well.",3,3,3,2,3
"Islam is a religion that promotes rape, torture and murder.",Informative,"Not all Muslims are guilty of these horrible crimes. Some are victims of hate crime, some are just confused about how their religion is misinterpreted.",3,4,3,2,2
"Islam is a religion that promotes rape, torture and murder.",Questioning,"How can you say something so extreme? The Quran does not advocate violence. Islam is a religion, not a religion of war.",3,4,4,2,2
"Islam is a religion that promotes rape, torture and murder.",Denouncing,"Rape, torture and murder are abominations to all religions. The Muslim statement on tolerance says nothing about hate crimes.",3,4,3,2,2
"Islam is a religion that promotes rape, torture and murder.",Positive,"This is just scaremongering and misinformation, being spread to divide our people and divide us up. We should not be being terrorised by this kind of irrational fear.",3,3,3,3,2
Islam is a radical ideology.,Questioning,So are you saying that Islam is not compatible with Western Civilization?,2,2,4,2,1
Islam is not a religion of peace.,Informative,"As a matter of fact, Islam is about love, not hate.",2,2,3,1,1
Islam is not a religion of peace.,Positive,The teaching of the Qur'an as a peaceful book is not to be confused with the promotion of violent jihad and terrorism.,3,3,3,3,2
